Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage,adm1_pcode,adm2_pcode
Nov-24,NGA,206654553,Kano,Kumbotso,current,01/10/2024,31/12/2024,3+,63920,0.12,NG020,NG020025
Nov-24,NGA,206654553,Kano,Kumbotso,first projection,01/06/2025,31/08/2025,3+,74572,0.14,NG020,NG020025
Nov-24,NGA,206654553,Kano,Kunchi,current,01/10/2024,31/12/2024,3+,13952,0.07,NG020,NG020026
Nov-24,NGA,206654553,Kano,Kunchi,first projection,01/06/2025,31/08/2025,3+,19933,0.1,NG020,NG020026
Nov-24,NGA,206654553,Kano,Kura,current,01/10/2024,31/12/2024,3+,31069,0.12,NG020,NG020027
Nov-24,NGA,206654553,Kano,Kura,first projection,01/06/2025,31/08/2025,3+,36247,0.14,NG020,NG020027
Nov-24,NGA,206654553,Kano,Madobi,current,01/10/2024,31/12/2024,3+,29894,0.12,NG020,NG020028
Nov-24,NGA,206654553,Kano,Madobi,first projection,01/06/2025,31/08/2025,3+,34876,0.14,NG020,NG020028
Nov-24,NGA,206654553,Kano,Makoda,current,01/10/2024,31/12/2024,3+,27875,0.07,NG020,NG020029
Nov-24,NGA,206654553,Kano,Makoda,first projection,01/06/2025,31/08/2025,3+,39823,0.1,NG020,NG020029
Nov-24,NGA,206654553,Kano,Minjibir,current,01/10/2024,31/12/2024,3+,47682,0.12,NG020,NG020030
Nov-24,NGA,206654553,Kano,Minjibir,first projection,01/06/2025,31/08/2025,3+,55630,0.14,NG020,NG020030
Nov-24,NGA,206654553,Kano,Nasarawa,current,01/10/2024,31/12/2024,3+,129496,0.12,NG020,NG020031
Nov-24,NGA,206654553,Kano,Nasarawa,first projection,01/06/2025,31/08/2025,3+,151078,0.14,NG020,NG020031
Nov-24,NGA,206654553,Kano,Rano,current,01/10/2024,31/12/2024,3+,24145,0.09,NG020,NG020032
Nov-24,NGA,206654553,Kano,Rano,first projection,01/06/2025,31/08/2025,3+,29510,0.11,NG020,NG020032
Nov-24,NGA,206654553,Kano,Rimin gado,current,01/10/2024,31/12/2024,3+,13091,0.07,NG020,NG020033
Nov-24,NGA,206654553,Kano,Rimin gado,first projection,01/06/2025,31/08/2025,3+,18703,0.1,NG020,NG020033
Nov-24,NGA,206654553,Kano,Rogo,current,01/10/2024,31/12/2024,3+,37063,0.09,NG020,NG020034
Nov-24,NGA,206654553,Kano,Rogo,first projection,01/06/2025,31/08/2025,3+,45300,0.11,NG020,NG020034
Nov-24,NGA,206654553,Kano,Shanono,current,01/10/2024,31/12/2024,3+,17620,0.07,NG020,NG020035
Nov-24,NGA,206654553,Kano,Shanono,first projection,01/06/2025,31/08/2025,3+,25173,0.1,NG020,NG020035
Nov-24,NGA,206654553,Kano,Sumaila,current,01/10/2024,31/12/2024,3+,40772,0.09,NG020,NG020036
Nov-24,NGA,206654553,Kano,Sumaila,first projection,01/06/2025,31/08/2025,3+,49832,0.11,NG020,NG020036
Nov-24,NGA,206654553,Kano,Takai,current,01/10/2024,31/12/2024,3+,32998,0.09,NG020,NG020037
Nov-24,NGA,206654553,Kano,Takai,first projection,01/06/2025,31/08/2025,3+,40331,0.11,NG020,NG020037
Nov-24,NGA,206654553,Kano,Tarauni,current,01/10/2024,31/12/2024,3+,48168,0.12,NG020,NG020038
Nov-24,NGA,206654553,Kano,Tarauni,first projection,01/06/2025,31/08/2025,3+,56196,0.14,NG020,NG020038
Nov-24,NGA,206654553,Kano,Tofa,current,01/10/2024,31/12/2024,3+,12488,0.07,NG020,NG020039
Nov-24,NGA,206654553,Kano,Tofa,first projection,01/06/2025,31/08/2025,3+,17840,0.1,NG020,NG020039
Nov-24,NGA,206654553,Kano,Tsanyawa,current,01/10/2024,31/12/2024,3+,19976,0.07,NG020,NG020040
Nov-24,NGA,206654553,Kano,Tsanyawa,first projection,01/06/2025,31/08/2025,3+,28538,0.1,NG020,NG020040
Nov-24,NGA,206654553,Kano,Tudun wada,current,01/10/2024,31/12/2024,3+,37235,0.09,NG020,NG020041
Nov-24,NGA,206654553,Kano,Tudun wada,first projection,01/06/2025,31/08/2025,3+,45509,0.11,NG020,NG020041
Nov-24,NGA,206654553,Kano,Ungogo,current,01/10/2024,31/12/2024,3+,79050,0.12,NG020,NG020042
Nov-24,NGA,206654553,Kano,Ungogo,first projection,01/06/2025,31/08/2025,3+,92225,0.14,NG020,NG020042
Nov-24,NGA,206654553,Kano,Warawa,current,01/10/2024,31/12/2024,3+,28629,0.12,NG020,NG020043
Nov-24,NGA,206654553,Kano,Warawa,first projection,01/06/2025,31/08/2025,3+,33401,0.14,NG020,NG020043
Nov-24,NGA,206654553,Kano,Wudil,current,01/10/2024,31/12/2024,3+,30718,0.09,NG020,NG020044
Nov-24,NGA,206654553,Kano,Wudil,first projection,01/06/2025,31/08/2025,3+,37544,0.11,NG020,NG020044
Nov-24,NGA,206654553,Gombe,Akko,current,01/10/2024,31/12/2024,3+,78294,0.14,NG016,NG016001
Nov-24,NGA,206654553,Gombe,Akko,first projection,01/06/2025,31/08/2025,3+,117441,0.21,NG016,NG016001
Nov-24,NGA,206654553,Gombe,Balanga,current,01/10/2024,31/12/2024,3+,35183,0.1,NG016,NG016002
Nov-24,NGA,206654553,Gombe,Balanga,first projection,01/06/2025,31/08/2025,3+,49256,0.14,NG016,NG016002
Nov-24,NGA,206654553,Gombe,Billiri,current,01/10/2024,31/12/2024,3+,33460,0.1,NG016,NG016003
Nov-24,NGA,206654553,Gombe,Billiri,first projection,01/06/2025,31/08/2025,3+,46845,0.14,NG016,NG016003
Nov-24,NGA,206654553,Gombe,Dukku,current,01/10/2024,31/12/2024,3+,54873,0.16,NG016,NG016004
Nov-24,NGA,206654553,Gombe,Dukku,first projection,01/06/2025,31/08/2025,3+,82309,0.24,NG016,NG016004
Nov-24,NGA,206654553,Gombe,Funakaye,current,01/10/2024,31/12/2024,3+,62527,0.16,NG016,NG016005
Nov-24,NGA,206654553,Gombe,Funakaye,first projection,01/06/2025,31/08/2025,3+,93789,0.24,NG016,NG016005
Nov-24,NGA,206654553,Gombe,Gombe,current,01/10/2024,31/12/2024,3+,70979,0.16,NG016,NG016006
Nov-24,NGA,206654553,Gombe,Gombe,first projection,01/06/2025,31/08/2025,3+,106468,0.24,NG016,NG016006
Nov-24,NGA,206654553,Gombe,Kaltungo,current,01/10/2024,31/12/2024,3+,24797,0.1,NG016,NG016007
Nov-24,NGA,206654553,Gombe,Kaltungo,first projection,01/06/2025,31/08/2025,3+,34716,0.14,NG016,NG016007
Nov-24,NGA,206654553,Gombe,Kwami,current,01/10/2024,31/12/2024,3+,51724,0.16,NG016,NG016008
Nov-24,NGA,206654553,Gombe,Kwami,first projection,01/06/2025,31/08/2025,3+,77585,0.24,NG016,NG016008
Nov-24,NGA,206654553,Gombe,Nafada,current,01/10/2024,31/12/2024,3+,36597,0.16,NG016,NG016009
Nov-24,NGA,206654553,Gombe,Nafada,first projection,01/06/2025,31/08/2025,3+,54896,0.24,NG016,NG016009
Nov-24,NGA,206654553,Gombe,Shomgom,current,01/10/2024,31/12/2024,3+,25081,0.1,NG016,NG016010
Nov-24,NGA,206654553,Gombe,Shomgom,first projection,01/06/2025,31/08/2025,3+,35113,0.14,NG016,NG016010
Nov-24,NGA,206654553,Gombe,Yamaltu/deba,current,01/10/2024,31/12/2024,3+,59151,0.14,NG016,NG016011
Nov-24,NGA,206654553,Gombe,Yamaltu/deba,first projection,01/06/2025,31/08/2025,3+,88727,0.21,NG016,NG016011
Nov-24,NGA,206654553,Edo,Akoko-edo,current,01/10/2024,31/12/2024,3+,42986,0.09,NG012,NG012001
Nov-24,NGA,206654553,Edo,Akoko-edo,first projection,01/06/2025,31/08/2025,3+,57315,0.12,NG012,NG012001
Nov-24,NGA,206654553,Edo,Egor,current,01/10/2024,31/12/2024,3+,43496,0.07,NG012,NG012002
Nov-24,NGA,206654553,Edo,Egor,first projection,01/06/2025,31/08/2025,3+,62137,0.1,NG012,NG012002
Nov-24,NGA,206654553,Edo,Esan central,current,01/10/2024,31/12/2024,3+,23060,0.12,NG012,NG012003
Nov-24,NGA,206654553,Edo,Esan central,first projection,01/06/2025,31/08/2025,3+,28826,0.15,NG012,NG012003
Nov-24,NGA,206654553,Edo,Esan north east,current,01/10/2024,31/12/2024,3+,26730,0.12,NG012,NG012004
Nov-24,NGA,206654553,Edo,Esan north east,first projection,01/06/2025,31/08/2025,3+,33413,0.15,NG012,NG012004
Nov-24,NGA,206654553,Edo,Esan south east,current,01/10/2024,31/12/2024,3+,36569,0.12,NG012,NG012005
Nov-24,NGA,206654553,Edo,Esan south east,first projection,01/06/2025,31/08/2025,3+,45711,0.15,NG012,NG012005
Nov-24,NGA,206654553,Edo,Esan west,current,01/10/2024,31/12/2024,3+,27985,0.12,NG012,NG012006
Nov-24,NGA,206654553,Edo,Esan west,first projection,01/06/2025,31/08/2025,3+,34982,0.15,NG012,NG012006
Nov-24,NGA,206654553,Edo,Etsako central,current,01/10/2024,31/12/2024,3+,15485,0.09,NG012,NG012007
Nov-24,NGA,206654553,Edo,Etsako central,first projection,01/06/2025,31/08/2025,3+,20647,0.12,NG012,NG012007
Nov-24,NGA,206654553,Edo,Etsako east,current,01/10/2024,31/12/2024,3+,24213,0.09,NG012,NG012008
Nov-24,NGA,206654553,Edo,Etsako east,first projection,01/06/2025,31/08/2025,3+,32284,0.12,NG012,NG012008
Nov-24,NGA,206654553,Edo,Etsako west,current,01/10/2024,31/12/2024,3+,32699,0.09,NG012,NG012009
Nov-24,NGA,206654553,Edo,Etsako west,first projection,01/06/2025,31/08/2025,3+,43599,0.12,NG012,NG012009
Nov-24,NGA,206654553,Edo,Igueben,current,01/10/2024,31/12/2024,3+,15399,0.12,NG012,NG012010
Nov-24,NGA,206654553,Edo,Igueben,first projection,01/06/2025,31/08/2025,3+,19248,0.15,NG012,NG012010
Nov-24,NGA,206654553,Edo,Ikpoba-okha,current,01/10/2024,31/12/2024,3+,47559,0.07,NG012,NG012011
Nov-24,NGA,206654553,Edo,Ikpoba-okha,first projection,01/06/2025,31/08/2025,3+,67942,0.1,NG012,NG012011
Nov-24,NGA,206654553,Edo,Oredo,current,01/10/2024,31/12/2024,3+,47871,0.07,NG012,NG012012
Nov-24,NGA,206654553,Edo,Oredo,first projection,01/06/2025,31/08/2025,3+,68387,0.1,NG012,NG012012
Nov-24,NGA,206654553,Edo,Orhionmwon,current,01/10/2024,31/12/2024,3+,23518,0.07,NG012,NG012013
Nov-24,NGA,206654553,Edo,Orhionmwon,first projection,01/06/2025,31/08/2025,3+,33597,0.1,NG012,NG012013
Nov-24,NGA,206654553,Edo,Ovia north east,current,01/10/2024,31/12/2024,3+,19856,0.07,NG012,NG012014
Nov-24,NGA,206654553,Edo,Ovia north east,first projection,01/06/2025,31/08/2025,3+,28366,0.1,NG012,NG012014
Nov-24,NGA,206654553,Edo,Ovia south west,current,01/10/2024,31/12/2024,3+,17648,0.07,NG012,NG012015
Nov-24,NGA,206654553,Edo,Ovia south west,first projection,01/06/2025,31/08/2025,3+,25212,0.1,NG012,NG012015
Nov-24,NGA,206654553,Edo,Owan east,current,01/10/2024,31/12/2024,3+,25412,0.09,NG012,NG012016
Nov-24,NGA,206654553,Edo,Owan east,first projection,01/06/2025,31/08/2025,3+,33883,0.12,NG012,NG012016
Nov-24,NGA,206654553,Edo,Owan west,current,01/10/2024,31/12/2024,3+,16279,0.09,NG012,NG012017
Nov-24,NGA,206654553,Edo,Owan west,first projection,01/06/2025,31/08/2025,3+,21705,0.12,NG012,NG012017
Nov-24,NGA,206654553,Edo,Uhunmwonde,current,01/10/2024,31/12/2024,3+,15562,0.07,NG012,NG012018
Nov-24,NGA,206654553,Edo,Uhunmwonde,first projection,01/06/2025,31/08/2025,3+,22231,0.1,NG012,NG012018
Nov-24,NGA,206654553,Kebbi,Aleiro,current,01/10/2024,31/12/2024,3+,21744,0.19,NG022,NG022001
Nov-24,NGA,206654553,Kebbi,Aleiro,first projection,01/06/2025,31/08/2025,3+,28610,0.25,NG022,NG022001
Nov-24,NGA,206654553,Kebbi,Arewa-dandi,current,01/10/2024,31/12/2024,3+,25895,0.08,NG022,NG022002
Nov-24,NGA,206654553,Kebbi,Arewa-dandi,first projection,01/06/2025,31/08/2025,3+,35605,0.11,NG022,NG022002
Nov-24,NGA,206654553,Kebbi,Argungu,current,01/10/2024,31/12/2024,3+,27331,0.08,NG022,NG022003
Nov-24,NGA,206654553,Kebbi,Argungu,first projection,01/06/2025,31/08/2025,3+,58079,0.17,NG022,NG022003
Nov-24,NGA,206654553,Kebbi,Augie,current,01/10/2024,31/12/2024,3+,19853,0.1,NG022,NG022004
Nov-24,NGA,206654553,Kebbi,Augie,first projection,01/06/2025,31/08/2025,3+,23824,0.12,NG022,NG022004
Nov-24,NGA,206654553,Kebbi,Bagudo,current,01/10/2024,31/12/2024,3+,32486,0.08,NG022,NG022005
Nov-24,NGA,206654553,Kebbi,Bagudo,first projection,01/06/2025,31/08/2025,3+,40607,0.1,NG022,NG022005
Nov-24,NGA,206654553,Kebbi,Birnin kebbi,current,01/10/2024,31/12/2024,3+,32080,0.07,NG022,NG022006
Nov-24,NGA,206654553,Kebbi,Birnin kebbi,first projection,01/06/2025,31/08/2025,3+,45829,0.1,NG022,NG022006
Nov-24,NGA,206654553,Kebbi,Bunza,current,01/10/2024,31/12/2024,3+,35833,0.17,NG022,NG022007
Nov-24,NGA,206654553,Kebbi,Bunza,first projection,01/06/2025,31/08/2025,3+,48479,0.23,NG022,NG022007
Nov-24,NGA,206654553,Kebbi,Dandi,current,01/10/2024,31/12/2024,3+,22450,0.09,NG022,NG022008
Nov-24,NGA,206654553,Kebbi,Dandi,first projection,01/06/2025,31/08/2025,3+,54878,0.22,NG022,NG022008
Nov-24,NGA,206654553,Kebbi,Danko Wasagu,current,01/10/2024,31/12/2024,3+,67887,0.15,NG022,NG022019
Nov-24,NGA,206654553,Kebbi,Danko Wasagu,first projection,01/06/2025,31/08/2025,3+,104093,0.23,NG022,NG022019
Nov-24,NGA,206654553,Kebbi,Fakai,current,01/10/2024,31/12/2024,3+,45552,0.21,NG022,NG022009
Nov-24,NGA,206654553,Kebbi,Fakai,first projection,01/06/2025,31/08/2025,3+,58567,0.27,NG022,NG022009
Nov-24,NGA,206654553,Kebbi,Gwandu,current,01/10/2024,31/12/2024,3+,18042,0.07,NG022,NG022010
Nov-24,NGA,206654553,Kebbi,Gwandu,first projection,01/06/2025,31/08/2025,3+,28352,0.11,NG022,NG022010
Nov-24,NGA,206654553,Kebbi,Jega,current,01/10/2024,31/12/2024,3+,23617,0.07,NG022,NG022011
Nov-24,NGA,206654553,Kebbi,Jega,first projection,01/06/2025,31/08/2025,3+,30365,0.09,NG022,NG022011
Nov-24,NGA,206654553,Kebbi,Kalgo,current,01/10/2024,31/12/2024,3+,11591,0.08,NG022,NG022012
Nov-24,NGA,206654553,Kebbi,Kalgo,first projection,01/06/2025,31/08/2025,3+,33325,0.23,NG022,NG022012
Nov-24,NGA,206654553,Kebbi,Koko/besse,current,01/10/2024,31/12/2024,3+,18489,0.07,NG022,NG022013
Nov-24,NGA,206654553,Kebbi,Koko/besse,first projection,01/06/2025,31/08/2025,3+,29054,0.11,NG022,NG022013
Nov-24,NGA,206654553,Kebbi,Maiyama,current,01/10/2024,31/12/2024,3+,23716,0.08,NG022,NG022014
Nov-24,NGA,206654553,Kebbi,Maiyama,first projection,01/06/2025,31/08/2025,3+,29645,0.1,NG022,NG022014
Nov-24,NGA,206654553,Kebbi,Ngaski,current,01/10/2024,31/12/2024,3+,32695,0.16,NG022,NG022015
Nov-24,NGA,206654553,Kebbi,Ngaski,first projection,01/06/2025,31/08/2025,3+,20434,0.1,NG022,NG022015
Nov-24,NGA,206654553,Kebbi,Sakaba,current,01/10/2024,31/12/2024,3+,58088,0.27,NG022,NG022016
Nov-24,NGA,206654553,Kebbi,Sakaba,first projection,01/06/2025,31/08/2025,3+,66694,0.31,NG022,NG022016
Nov-24,NGA,206654553,Kebbi,Shanga,current,01/10/2024,31/12/2024,3+,25039,0.16,NG022,NG022017
Nov-24,NGA,206654553,Kebbi,Shanga,first projection,01/06/2025,31/08/2025,3+,28169,0.18,NG022,NG022017
Nov-24,NGA,206654553,Kebbi,Suru,current,01/10/2024,31/12/2024,3+,20265,0.08,NG022,NG022018
Nov-24,NGA,206654553,Kebbi,Suru,first projection,01/06/2025,31/08/2025,3+,32930,0.13,NG022,NG022018
Nov-24,NGA,206654553,Kebbi,Yauri,current,01/10/2024,31/12/2024,3+,25736,0.15,NG022,NG022020
Nov-24,NGA,206654553,Kebbi,Yauri,first projection,01/06/2025,31/08/2025,3+,12009,0.07,NG022,NG022020
Nov-24,NGA,206654553,Kebbi,Zuru,current,01/10/2024,31/12/2024,3+,39491,0.14,NG022,NG022021
Nov-24,NGA,206654553,Kebbi,Zuru,first projection,01/06/2025,31/08/2025,3+,67698,0.24,NG022,NG022021
Nov-24,NGA,206654553,Bauchi,Alkaleri,current,01/10/2024,31/12/2024,3+,24053,0.04,NG005,NG005001
Nov-24,NGA,206654553,Bauchi,Alkaleri,first projection,01/06/2025,31/08/2025,3+,42094,0.07,NG005,NG005001
Nov-24,NGA,206654553,Bauchi,Bauchi,current,01/10/2024,31/12/2024,3+,90142,0.1,NG005,NG005002
Nov-24,NGA,206654553,Bauchi,Bauchi,first projection,01/06/2025,31/08/2025,3+,117185,0.13,NG005,NG005002
Nov-24,NGA,206654553,Bauchi,Bogoro,current,01/10/2024,31/12/2024,3+,6149,0.04,NG005,NG005003
Nov-24,NGA,206654553,Bauchi,Bogoro,first projection,01/06/2025,31/08/2025,3+,10761,0.07,NG005,NG005003
Nov-24,NGA,206654553,Bauchi,Damban,current,01/10/2024,31/12/2024,3+,41325,0.15,NG005,NG005004
Nov-24,NGA,206654553,Bauchi,Damban,first projection,01/06/2025,31/08/2025,3+,60610,0.22,NG005,NG005004
Nov-24,NGA,206654553,Bauchi,Darazo,current,01/10/2024,31/12/2024,3+,36742,0.08,NG005,NG005005
Nov-24,NGA,206654553,Bauchi,Darazo,first projection,01/06/2025,31/08/2025,3+,64298,0.14,NG005,NG005005
Nov-24,NGA,206654553,Bauchi,Dass,current,01/10/2024,31/12/2024,3+,6567,0.04,NG005,NG005006
Nov-24,NGA,206654553,Bauchi,Dass,first projection,01/06/2025,31/08/2025,3+,13134,0.08,NG005,NG005006
Nov-24,NGA,206654553,Bauchi,Gamawa,current,01/10/2024,31/12/2024,3+,120240,0.23,NG005,NG005007
Nov-24,NGA,206654553,Bauchi,Gamawa,first projection,01/06/2025,31/08/2025,3+,141152,0.27,NG005,NG005007
Nov-24,NGA,206654553,Bauchi,Ganjuwa,current,01/10/2024,31/12/2024,3+,20479,0.04,NG005,NG005008
Nov-24,NGA,206654553,Bauchi,Ganjuwa,first projection,01/06/2025,31/08/2025,3+,35838,0.07,NG005,NG005008
Nov-24,NGA,206654553,Bauchi,Giade,current,01/10/2024,31/12/2024,3+,8596,0.03,NG005,NG005009
Nov-24,NGA,206654553,Bauchi,Giade,first projection,01/06/2025,31/08/2025,3+,22923,0.08,NG005,NG005009
Nov-24,NGA,206654553,Bauchi,Itas/gadau,current,01/10/2024,31/12/2024,3+,33587,0.08,NG005,NG005010
Nov-24,NGA,206654553,Bauchi,Itas/gadau,first projection,01/06/2025,31/08/2025,3+,46183,0.11,NG005,NG005010
Nov-24,NGA,206654553,Bauchi,Jama'are,current,01/10/2024,31/12/2024,3+,34430,0.16,NG005,NG005011
Nov-24,NGA,206654553,Bauchi,Jama'are,first projection,01/06/2025,31/08/2025,3+,45189,0.21,NG005,NG005011
Nov-24,NGA,206654553,Bauchi,Katagum,current,01/10/2024,31/12/2024,3+,91847,0.17,NG005,NG005012
Nov-24,NGA,206654553,Bauchi,Katagum,first projection,01/06/2025,31/08/2025,3+,124263,0.23,NG005,NG005012
Nov-24,NGA,206654553,Bauchi,Kirfi,current,01/10/2024,31/12/2024,3+,21557,0.08,NG005,NG005013
Nov-24,NGA,206654553,Bauchi,Kirfi,first projection,01/06/2025,31/08/2025,3+,35030,0.13,NG005,NG005013
Nov-24,NGA,206654553,Bauchi,Misau,current,01/10/2024,31/12/2024,3+,38478,0.08,NG005,NG005014
Nov-24,NGA,206654553,Bauchi,Misau,first projection,01/06/2025,31/08/2025,3+,57717,0.12,NG005,NG005014
Nov-24,NGA,206654553,Bauchi,Ningi,current,01/10/2024,31/12/2024,3+,35339,0.05,NG005,NG005015
Nov-24,NGA,206654553,Bauchi,Ningi,first projection,01/06/2025,31/08/2025,3+,56543,0.08,NG005,NG005015
Nov-24,NGA,206654553,Bauchi,Shira,current,01/10/2024,31/12/2024,3+,93979,0.22,NG005,NG005016
Nov-24,NGA,206654553,Bauchi,Shira,first projection,01/06/2025,31/08/2025,3+,115338,0.27,NG005,NG005016
Nov-24,NGA,206654553,Bauchi,Tafawa-balewa,current,01/10/2024,31/12/2024,3+,52205,0.13,NG005,NG005017
Nov-24,NGA,206654553,Bauchi,Tafawa-balewa,first projection,01/06/2025,31/08/2025,3+,68268,0.17,NG005,NG005017
Nov-24,NGA,206654553,Bauchi,Toro,current,01/10/2024,31/12/2024,3+,25585,0.04,NG005,NG005018
Nov-24,NGA,206654553,Bauchi,Toro,first projection,01/06/2025,31/08/2025,3+,44775,0.07,NG005,NG005018
Nov-24,NGA,206654553,Bauchi,Zaki,current,01/10/2024,31/12/2024,3+,76888,0.22,NG005,NG005020
Nov-24,NGA,206654553,Bauchi,Zaki,first projection,01/06/2025,31/08/2025,3+,90868,0.26,NG005,NG005020
Nov-24,NGA,206654553,Bauchi,Warji,current,01/10/2024,31/12/2024,3+,6282,0.03,NG005,NG005019
Nov-24,NGA,206654553,Bauchi,Warji,first projection,01/06/2025,31/08/2025,3+,10470,0.05,NG005,NG005019
Nov-24,NGA,206654553,Enugu,Aninri,current,01/10/2024,31/12/2024,3+,32827,0.14,NG014,NG014001
Nov-24,NGA,206654553,Enugu,Aninri,first projection,01/06/2025,31/08/2025,3+,39862,0.17,NG014,NG014001
Nov-24,NGA,206654553,Enugu,Awgu,current,01/10/2024,31/12/2024,3+,48640,0.14,NG014,NG014002
Nov-24,NGA,206654553,Enugu,Awgu,first projection,01/06/2025,31/08/2025,3+,59063,0.17,NG014,NG014002
Nov-24,NGA,206654553,Enugu,Enugu east,current,01/10/2024,31/12/2024,3+,48938,0.1,NG014,NG014003
Nov-24,NGA,206654553,Enugu,Enugu east,first projection,01/06/2025,31/08/2025,3+,63619,0.13,NG014,NG014003
Nov-24,NGA,206654553,Enugu,Enugu north,current,01/10/2024,31/12/2024,3+,42935,0.1,NG014,NG014004
Nov-24,NGA,206654553,Enugu,Enugu north,first projection,01/06/2025,31/08/2025,3+,55815,0.13,NG014,NG014004
Nov-24,NGA,206654553,Enugu,Enugu south,current,01/10/2024,31/12/2024,3+,34846,0.1,NG014,NG014005
Nov-24,NGA,206654553,Enugu,Enugu south,first projection,01/06/2025,31/08/2025,3+,45300,0.13,NG014,NG014005
Nov-24,NGA,206654553,Enugu,Ezeagu,current,01/10/2024,31/12/2024,3+,41664,0.14,NG014,NG014006
Nov-24,NGA,206654553,Enugu,Ezeagu,first projection,01/06/2025,31/08/2025,3+,50592,0.17,NG014,NG014006
Nov-24,NGA,206654553,Enugu,Igbo-etiti,current,01/10/2024,31/12/2024,3+,44030,0.12,NG014,NG014007
Nov-24,NGA,206654553,Enugu,Igbo-etiti,first projection,01/06/2025,31/08/2025,3+,55037,0.15,NG014,NG014007
Nov-24,NGA,206654553,Enugu,Igbo-eze north,current,01/10/2024,31/12/2024,3+,54589,0.12,NG014,NG014008
Nov-24,NGA,206654553,Enugu,Igbo-eze north,first projection,01/06/2025,31/08/2025,3+,68237,0.15,NG014,NG014008
Nov-24,NGA,206654553,Enugu,Igbo-eze south,current,01/10/2024,31/12/2024,3+,31000,0.12,NG014,NG014009
Nov-24,NGA,206654553,Enugu,Igbo-eze south,first projection,01/06/2025,31/08/2025,3+,38751,0.15,NG014,NG014009
Nov-24,NGA,206654553,Enugu,Isi-uzo,current,01/10/2024,31/12/2024,3+,26024,0.1,NG014,NG014010
Nov-24,NGA,206654553,Enugu,Isi-uzo,first projection,01/06/2025,31/08/2025,3+,33832,0.13,NG014,NG014010
Nov-24,NGA,206654553,Enugu,Nkanu east,current,01/10/2024,31/12/2024,3+,26087,0.1,NG014,NG014011
Nov-24,NGA,206654553,Enugu,Nkanu east,first projection,01/06/2025,31/08/2025,3+,33913,0.13,NG014,NG014011
Nov-24,NGA,206654553,Enugu,Nkanu west,current,01/10/2024,31/12/2024,3+,25723,0.1,NG014,NG014012
Nov-24,NGA,206654553,Enugu,Nkanu west,first projection,01/06/2025,31/08/2025,3+,33440,0.13,NG014,NG014012
Nov-24,NGA,206654553,Enugu,Nsukka,current,01/10/2024,31/12/2024,3+,63445,0.12,NG014,NG014013
Nov-24,NGA,206654553,Enugu,Nsukka,first projection,01/06/2025,31/08/2025,3+,79306,0.15,NG014,NG014013
Nov-24,NGA,206654553,Enugu,Oji-river,current,01/10/2024,31/12/2024,3+,31075,0.14,NG014,NG014014
Nov-24,NGA,206654553,Enugu,Oji-river,first projection,01/06/2025,31/08/2025,3+,37735,0.17,NG014,NG014014
Nov-24,NGA,206654553,Enugu,Udenu,current,01/10/2024,31/12/2024,3+,37552,0.12,NG014,NG014015
Nov-24,NGA,206654553,Enugu,Udenu,first projection,01/06/2025,31/08/2025,3+,46941,0.15,NG014,NG014015
Nov-24,NGA,206654553,Enugu,Udi,current,01/10/2024,31/12/2024,3+,57445,0.14,NG014,NG014016
Nov-24,NGA,206654553,Enugu,Udi,first projection,01/06/2025,31/08/2025,3+,69755,0.17,NG014,NG014016
Nov-24,NGA,206654553,Enugu,Uzo-uwani,current,01/10/2024,31/12/2024,3+,26193,0.12,NG014,NG014017
Nov-24,NGA,206654553,Enugu,Uzo-uwani,first projection,01/06/2025,31/08/2025,3+,32741,0.15,NG014,NG014017
Nov-24,NGA,206654553,Zamfara,Anka,current,01/10/2024,31/12/2024,3+,56362,0.22,NG037,NG037001
Nov-24,NGA,206654553,Zamfara,Anka,first projection,01/06/2025,31/08/2025,3+,66609,0.26,NG037,NG037001
Nov-24,NGA,206654553,Zamfara,Bakura,current,01/10/2024,31/12/2024,3+,50745,0.15,NG037,NG037002
Nov-24,NGA,206654553,Zamfara,Bakura,first projection,01/06/2025,31/08/2025,3+,71044,0.21,NG037,NG037002
Nov-24,NGA,206654553,Zamfara,Birnin magaji,current,01/10/2024,31/12/2024,3+,55133,0.17,NG037,NG037003
Nov-24,NGA,206654553,Zamfara,Birnin magaji,first projection,01/06/2025,31/08/2025,3+,68106,0.21,NG037,NG037003
Nov-24,NGA,206654553,Zamfara,Bukkuyum,current,01/10/2024,31/12/2024,3+,84323,0.22,NG037,NG037004
Nov-24,NGA,206654553,Zamfara,Bukkuyum,first projection,01/06/2025,31/08/2025,3+,99655,0.26,NG037,NG037004
Nov-24,NGA,206654553,Zamfara,Bungudu,current,01/10/2024,31/12/2024,3+,79593,0.17,NG037,NG037005
Nov-24,NGA,206654553,Zamfara,Bungudu,first projection,01/06/2025,31/08/2025,3+,112367,0.24,NG037,NG037005
Nov-24,NGA,206654553,Zamfara,Gummi,current,01/10/2024,31/12/2024,3+,81482,0.22,NG037,NG037006
Nov-24,NGA,206654553,Zamfara,Gummi,first projection,01/06/2025,31/08/2025,3+,96296,0.26,NG037,NG037006
Nov-24,NGA,206654553,Zamfara,Gusau,current,01/10/2024,31/12/2024,3+,103716,0.15,NG037,NG037007
Nov-24,NGA,206654553,Zamfara,Gusau,first projection,01/06/2025,31/08/2025,3+,152118,0.22,NG037,NG037007
